 ,Area,Mean,Min,Max,X,Y
388,0,47,47,47,279.250,289.000
389,0,21,21,21,280.583,290.042
390,0,101,101,101,282.375,291.833
391,0,234,234,234,284.042,292.833
392,0,0,0,0,285.542,294.417
393,0,255,255,255,289.083,296.958
394,0,255,255,255,292.000,299.792
395,0,255,255,255,293.083,300.750
396,0,53,53,53,294.542,302.667
397,0,100,100,100,296.083,304.167
398,0,126,126,126,297.167,305.292
399,0,155,155,155,298.542,306.958
400,0,221,221,221,300.167,308.542
401,0,96,96,96,301.500,310.667
402,0,153,153,153,302.083,311.875
403,0,13,13,13,302.917,312.917
404,0,0,0,0,303.792,314.500
405,0,68,68,68,305.333,316.167
406,0,32,32,32,306.917,318.042
407,0,132,132,132,307.167,319.083
408,0,255,255,255,308.042,319.875
409,0,113,113,113,308.667,321.167
410,0,114,114,114,309.542,323.875
411,0,119,119,119,310.333,325.500
412,0,147,147,147,311.292,327.667
413,0,58,58,58,312.542,330.167
414,0,113,113,113,313.625,332.667
415,0,253,253,253,315.375,335.833
416,0,178,178,178,315.833,337.792
417,0,242,242,242,316.542,339.500
418,0,35,35,35,316.208,342.583
419,0,156,156,156,317.458,344.333
420,0,237,237,237,318.750,347.708
421,0,70,70,70,318.500,350.000
422,0,205,205,205,319.333,353.083
423,0,162,162,162,319.500,354.958
424,0,47,47,47,319.375,357.000
425,0,0,0,0,319.542,361.833
426,0,0,0,0,319.833,363.958
427,0,0,0,0,319.833,366.542
428,0,0,0,0,319.292,368.500
429,0,0,0,0,319.958,372.000
430,0,0,0,0,319.667,374.583
431,0,2,2,2,319.500,377.000
432,0,4,4,4,319.333,378.875
433,0,13,13,13,319.542,381.583
434,0,255,255,255,320.000,386.000
435,0,240,240,240,319.667,387.542
436,0,172,172,172,318.042,391.208
437,0,107,107,107,317.417,394.292
438,0,47,47,47,316.125,397.542
439,0,3,3,3,315.250,399.750
440,0,134,134,134,314.583,404.167
441,0,70,70,70,313.875,406.500
442,0,70,70,70,312.458,408.542
443,0,66,66,66,311.250,410.708
444,0,0,0,0,309.583,412.083
445,0,0,0,0,308.958,413.167
446,0,2,2,2,307.500,414.458
447,0,90,90,90,305.625,419.500
448,0,56,56,56,303.875,421.833
449,0,216,216,216,302.167,423.375
450,0,235,235,235,300.292,425.208
451,0,84,84,84,297.542,427.833
452,0,174,174,174,295.250,429.375
453,0,132,132,132,292.750,431.938
454,0,186,186,186,291.312,432.562
455,0,255,255,255,290.250,434.062
456,0,255,255,255,288.562,435.188
457,0,253,253,253,285.688,437.000
458,0,255,255,255,282.250,438.875
459,0,255,255,255,279.938,439.688
460,0,255,255,255,277.625,441.250
461,0,255,255,255,273.938,442.312
462,0,255,255,255,268.875,443.500
463,0,253,253,253,264.750,444.875
464,0,123,123,123,261.312,444.875
465,0,249,249,249,253.000,446.750
466,0,254,254,254,249.062,447.188
467,0,236,236,236,243.812,447.438
468,0,255,255,255,240.312,448.188
469,0,255,255,255,231.188,448.062
470,0,13,13,13,224.812,447.938
471,0,21,21,21,217.312,447.938
472,0,50,50,50,212.938,447.625
473,0,97,97,97,208.000,447.250
474,0,230,230,230,201.000,447.188
475,0,255,255,255,197.562,447.250
476,0,5,5,5,192.125,445.500
477,0,3,3,3,183.875,444.500
478,0,132,132,132,178.500,444.062
479,0,11,11,11,172.500,442.750
480,0,10,10,10,168.438,441.375
481,0,63,63,63,165.500,441.875
482,0,8,8,8,163.250,441.812
483,0,253,253,253,161.062,443.625
484,0,255,255,255,158.750,444.250
485,0,255,255,255,155.250,445.562
486,0,180,180,180,150.688,445.938
487,0,229,229,229,146.375,446.688
488,0,255,255,255,142.312,447.438
489,0,196,196,196,138.188,447.812
490,0,255,255,255,135.250,448.375
491,0,227,227,227,131.250,448.812
492,0,253,253,253,128.812,449.062
493,0,252,252,252,127.188,449.062
494,0,255,255,255,122.625,449.375
495,0,255,255,255,119.875,450.125
496,0,255,255,255,116.000,450.562
497,0,247,247,247,113.312,450.688
498,0,255,255,255,110.750,450.875
499,0,248,248,248,99.000,450.125
500,0,255,255,255,95.188,450.438
501,0,116,116,116,88.938,449.250
502,0,244,244,244,82.125,449.188
503,0,106,106,106,76.562,448.125
504,0,44,44,44,70.938,447.750
505,0,47,47,47,64.375,446.938
506,0,0,0,0,61.312,445.875
507,0,48,48,48,56.750,444.938
508,0,5,5,5,51.750,442.438
509,0,6,6,6,46.438,440.812
510,0,227,227,227,40.062,438.312
511,0,210,210,210,37.562,436.188
512,0,47,47,47,35.562,434.938
513,0,152,152,152,33.812,433.250
514,0,83,83,83,32.375,432.625
515,0,206,206,206,29.938,430.812
516,0,8,8,8,28.000,428.625
517,0,255,255,255,25.562,427.062
518,0,27,27,27,22.688,422.938
519,0,147,147,147,19.500,419.688
520,0,60,60,60,17.125,416.812
521,0,19,19,19,16.062,414.812
522,0,153,153,153,14.938,412.125
523,0,101,101,101,13.000,410.562
524,0,250,250,250,11.812,408.125
525,0,161,161,161,11.125,407.000
526,0,24,24,24,10.625,404.312
527,0,0,0,0,9.000,401.312
528,0,60,60,60,6.625,395.312
529,0,33,33,33,5.812,392.750
530,0,237,237,237,3.875,388.312
531,0,120,120,120,3.562,386.500
532,0,136,136,136,2.375,382.562
533,0,190,190,190,1.688,378.375
534,0,13,13,13,1.000,375.688
535,0,209,209,209,0.750,373.500
536,0,74,74,74,0.688,369.688
